City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atuona,-9.8,-139.0333,78.93,68,18,19.89,PF,1641164516
Bluff,-46.6,168.3333,70.81,73,100,2.08,NZ,1641164517
Kaitangata,-46.2817,169.8464,69.93,61,100,5.86,NZ,1641164517
Qaanaaq,77.484,-69.3632,-4.25,70,88,7.9,GL,1641164517
Saskylakh,71.9167,114.0833,-46.64,100,95,2.77,RU,1641164518
Albany,42.6001,-73.9662,33.75,88,100,1.99,US,1641164342
Vaini,-21.2,-175.2,80.26,80,22,19.28,TO,1641164518
Mbandaka,0.0487,18.2603,73.87,83,98,2.48,CD,1641164009
São Filipe,14.8961,-24.4956,77.22,59,26,11.72,CV,1641164009
Avarua,-21.2078,-159.775,82.45,78,75,16.11,CK,1641164243
Yellowknife,62.456,-114.3525,-30.48,68,75,11.5,CA,1641164327
Hasaki,35.7333,140.8333,25.2,50,2,10.47,JP,1641164519
Atwater,37.3477,-120.6091,57.31,54,1,0.0,US,1641164010
Hilo,19.7297,-155.09,81.1,80,87,5.99,US,1641164387
Busselton,-33.65,115.3333,63.05,74,55,12.41,AU,1641164520
Longyearbyen,78.2186,15.6401,12.04,67,75,27.63,SJ,1641164470
Mar del Plata,-38.0023,-57.5575,73.09,83,90,1.01,AR,1641164521
Mahébourg,-20.4081,57.7,73.26,88,20,3.44,MU,1641164011
Petropavlovsk-Kamchatskiy,53.0452,158.6483,7.39,85,40,4.47,RU,1641164012
Manohar Thāna,24.24,76.8018,56.44,58,1,3.71,IN,1641164012
Jamestown,42.097,-79.2353,27.09,57,100,4.0,US,1641164403
Naze,28.3667,129.4833,58.12,73,92,10.47,JP,1641164013
Cabo San Lucas,22.8909,-109.9124,76.51,67,2,4.0,MX,1641164523
Wuxue,29.8506,115.5525,41.77,54,2,1.88,CN,1641164013
Mendi,-6.1761,143.6513,59.67,95,100,1.34,PG,1641164014
Mezinovskiy,55.5042,40.3593,1.0,99,93,4.16,RU,1641164014
Kudahuvadhoo,2.6708,72.8944,81.18,79,14,12.84,MV,1641164014
Toora-Khem,52.4675,96.11,-5.15,98,98,1.54,RU,1641164015
Antonina,-25.4286,-48.7119,87.71,97,37,0.18,BR,1641164015
Halifax,44.6453,-63.5724,37.4,95,100,7.0,CA,1641163944
Atar,20.5169,-13.0499,65.21,22,0,11.52,MR,1641164525
Butaritari,3.0707,172.7902,81.01,65,100,10.33,KI,1641164525
Nizhneangarsk,55.7833,109.55,-4.02,76,97,2.8,RU,1641164016
Bontang,0.1333,117.5,76.98,89,100,5.21,ID,1641164016
Castro,-24.7911,-50.0119,67.69,81,59,4.92,BR,1641164473
Isangel,-19.55,169.2667,83.23,76,95,10.6,VU,1641164527
Bengkulu,-3.8004,102.2655,73.45,90,51,3.24,ID,1641164527
Rikitea,-23.1203,-134.9692,77.38,71,16,8.5,PF,1641164527
Troisdorf,50.8167,7.1667,53.82,84,75,17.27,DE,1641164018
Thompson,55.7435,-97.8558,-14.57,98,94,2.15,CA,1641164528
Ushuaia,-54.8,-68.3,41.4,57,70,12.21,AR,1641164528
Sabadell,41.5433,2.1094,55.74,83,90,1.14,ES,1641164018
Punta Arenas,-53.15,-70.9167,48.31,43,40,25.32,CL,1641164300
Maceió,-9.6658,-35.7353,80.04,78,0,8.05,BR,1641164019
Chipiona,36.7366,-6.437,52.3,100,0,3.44,ES,1641164019
George Town,5.4112,100.3354,78.89,76,20,6.91,MY,1641164530
Bredasdorp,-34.5322,20.0403,63.28,77,96,2.53,ZA,1641164531
Fukuechō,32.6881,128.8419,49.84,51,73,11.81,JP,1641164020
Caravelas,-17.7125,-39.2481,75.81,89,97,5.88,BR,1641164021
Mataura,-46.1927,168.8643,70.48,48,100,0.76,NZ,1641164532
Hofn,64.2539,-15.2082,25.7,51,0,23.29,IS,1641164021
Bloomfield,40.8068,-74.1854,50.99,75,90,1.01,US,1641164021
Samarai,-10.6167,150.6667,82.89,72,99,4.21,PG,1641164022
Tiksi,71.6872,128.8694,-32.26,100,82,1.48,RU,1641164533
Cernay,47.8097,7.177,55.22,80,87,15.95,FR,1641164022
Port Alfred,-33.5906,26.891,64.26,77,85,2.24,ZA,1641164534
Shīeli,44.1667,66.75,39.29,91,100,12.88,KZ,1641164023
Broome,42.2506,-75.833,28.62,83,90,5.01,US,1641164534
Lebu,-37.6167,-73.65,60.91,95,82,7.43,CL,1641164535
Kapaa,22.0752,-159.319,78.78,72,100,3.0,US,1641164535
East London,-33.0153,27.9116,66.36,77,100,5.12,ZA,1641164536
Chu,43.5983,73.7614,31.82,85,72,5.82,KZ,1641164025
Bethel,41.3712,-73.414,46.04,89,100,1.01,US,1641164316
Dikson,73.5069,80.5464,-39.21,95,32,10.36,RU,1641164537
New Norfolk,-42.7826,147.0587,60.66,66,99,1.01,AU,1641164537
Palauig,15.435,119.9045,74.73,68,100,5.97,PH,1641164026
Luanda,-8.8368,13.2343,77.0,88,40,4.61,AO,1641163909
Kruisfontein,-34.0033,24.7314,61.88,85,79,2.44,ZA,1641164538
Klaksvík,62.2266,-6.589,31.12,59,100,31.18,FO,1641164027
Port Moresby,-9.4431,147.1797,81.82,83,20,9.22,PG,1641164027
Rzhev,56.2624,34.3282,12.0,90,98,6.06,RU,1641164028
Chokurdakh,70.6333,147.9167,-28.61,98,99,6.96,RU,1641164539
Tuktoyaktuk,69.4541,-133.0374,-13.65,96,100,9.69,CA,1641164540
Moyobamba,-6.05,-76.9667,73.53,86,59,1.66,PE,1641164028
Harper,4.375,-7.7169,79.81,81,83,7.0,LR,1641164029
Hithadhoo,-0.6,73.0833,81.54,77,97,9.78,MV,1641164540
Kahului,20.8947,-156.47,83.46,78,20,6.91,US,1641164029
Barrow,71.2906,-156.7887,-25.58,75,1,0.0,US,1641164541
Constitución,-35.3333,-72.4167,64.44,83,12,8.57,CL,1641164542
Half Moon Bay,37.4636,-122.4286,60.98,65,1,5.75,US,1641164030
Grindavik,63.8424,-22.4338,23.47,63,40,12.66,IS,1641164030
Hong Kong,22.2855,114.1577,64.38,85,74,1.01,HK,1641164445
Jinhua,29.1078,119.6547,39.74,69,0,2.06,CN,1641164031
Kenitra,34.261,-6.5802,55.83,78,59,1.28,MA,1641164031
Salamiyah,35.0113,37.0532,46.36,81,43,5.64,SY,1641164032
Clyde River,70.4692,-68.5914,-3.77,84,100,17.27,CA,1641164544
Savelugu,9.6244,-0.8253,79.29,16,26,7.45,GH,1641164032
Guerrero Negro,27.9769,-114.0611,63.73,40,64,5.28,MX,1641164033
Yulara,-25.2406,130.9889,87.64,18,7,10.36,AU,1641164033
Port Elizabeth,-33.918,25.5701,64.09,83,64,3.11,ZA,1641164545
Hermanus,-34.4187,19.2345,63.81,77,68,6.85,ZA,1641164545
Nikolskoye,59.7035,30.7861,18.39,84,100,7.94,RU,1641164034
Torbay,47.6666,-52.7314,40.28,95,100,5.01,CA,1641164546
Saint Paul Harbor,57.79,-152.4072,16.2,74,98,31.68,US,1641164546
Palmer,42.1584,-72.3287,44.15,83,75,1.99,US,1641163848
Ancud,-41.8697,-73.8203,58.42,69,71,10.29,CL,1641164547
Moerai,-22.4333,-151.3333,77.94,71,100,14.09,PF,1641164035
Whitefish,48.4111,-114.3376,24.76,77,40,0.0,US,1641164035
Pisco,-13.7,-76.2167,69.03,90,100,5.46,PE,1641164548
Bondoukou,8.0333,-2.8,79.57,20,14,3.8,CI,1641164036
Brigantine,39.4101,-74.3646,61.05,96,90,6.91,US,1641164548
Saint-Philippe,-21.3585,55.7679,74.79,79,51,9.98,RE,1641164549
Bose,45.4612,8.0137,43.18,80,35,1.36,IT,1641164037
Fairbanks,64.8378,-147.7164,-22.0,69,1,4.61,US,1641163891
Quelimane,-17.8786,36.8883,82.35,88,40,5.99,MZ,1641163953
Richards Bay,-28.783,32.0377,70.38,94,100,5.75,ZA,1641164550
Arraial do Cabo,-22.9661,-42.0278,75.65,90,100,13.53,BR,1641164550
